scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
point_anomaly,point_anomaly,ood_background,ma,cubic_trend,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 1, 'ma_coefs': array([0.3869477])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(1.9751390906259254), 'cubic_sign': np.int64(-1)}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([ 41, 159, 225, 384], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,ar,volatility_background,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([0.88342351])}","{'background': 'volatility_background', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['volatility_background'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(3.2059101259796114), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.8549038988628879, 'omega': 0.14247683789017299}}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([307]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'end', 'starts': array([315]), 'ends': array([359]), 'lengths': [44], 'magnitudes': [np.float64(15.096749156266496)], 'magnitude_strengths': [2.2909455231435656], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
collective_anomaly,collective_anomaly,ood_background,arma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([0.02633353, 0.20717888, 0.57826383]), 'ma_order': 2, 'ma_coefs': array([0.80265351, 0.57413897])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(2.8150871548546212), 'quadratic_sign': np.int64(1), 'quadratic_location': 'center', 'seasonal_amplitude': np.float64(3.724913315538437)}","[{'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([232]), 'ends': array([253]), 'lengths': [21], 'magnitudes': [np.float64(3.773528649018532)], 'magnitude_strengths': [1.279349031012242], 'wrapper_event_label': 'collective_anomaly'}]",single_event,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,arma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.04712307,  0.16445485]), 'ma_order': 1, 'ma_coefs': array([-0.41477111])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(2.8945480400545485), 'quadratic_sign': np.int64(1), 'quadratic_location': 'right', 'seasonal_amplitude': np.float64(5.1525210074826)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(96), np.int64(144)], 'shift_magnitudes': [np.float64(3.117312815790568), np.float64(4.068429581426836)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [116], 'shift_magnitudes': [1.7623660340162828], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 1, 'ma_coefs': array([0.12042019])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.3724343895180213), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'center', 'seasonal_amplitude': np.float64(1.589073875955648)}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 2, 'anomaly_indices': array([ 27, 123], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([230]), 'ends': array([279]), 'lengths': [49], 'magnitudes': [np.float64(-3.454878234266562)], 'magnitude_strengths': [2.2800106334969072], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,arma,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.83114297,  0.14129444,  0.2825138 ]), 'ma_order': 3, 'ma_coefs': array([ 0.35843785, -0.6435228 , -0.5171759 ])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.02337911333305189), 'intercept': 0.3199361196007666, 'seasonal_period': [12, 7], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.7808037173462816), np.float64(4.753573162608357)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [353], 'shift_magnitudes': [2.84672034944693], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [355], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.02337911333305189), 'intercept': 0.3199361196007666}}]",shift_shift,ood_background,400
point_anomaly,point_anomaly,ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 5, 'ar_coefs': array([-0.16835242,  0.40922269,  0.71016492,  0.2275313 , -0.55837748])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(3.757422391145127), 'cubic_sign': np.int64(-1)}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 2, 'anomaly_indices': array([213, 342], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.6451166])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.019111951730655285), 'intercept': 0.2574359292790739, 'seasonal_period': [12, 30], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.8845995302261582), np.float64(2.627936630400586)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [336], 'shift_magnitudes': [np.float64(4.287993792682796)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([282]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
trend_shift,trend_shift,ood_background,white_noise,volatility_background+linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'volatility_background+linear', 'slope': np.float64(-0.01734044415308949), 'intercept': 0.4486487798887434, 'seasonal_period': None, 'components': ['volatility_background', 'linear'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(1.6250810547358625), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.895849997667888, 'omega': 0.11581984109023997}}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(227), np.int64(304)], 'shift_types': ['direction_change', 'magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.01734044415308949), 'intercept': 0.4486487798887434}}]",single_event,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,ar,multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 5, 'ar_coefs': array([ 0.79699542, -0.06431874, -0.06314565,  0.52294395, -0.48733067])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [7, 12], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.4309831677989098), np.float64(1.8075138112920788)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [230], 'shift_magnitudes': [np.float64(5.077021704951053)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'middle', 'shift_indices': [np.int64(48), np.int64(336)], 'shift_magnitudes': [1.963153898126462, 2.815759275295054], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
point_anomaly,point_anomaly,ood_background,white_noise,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.023447922505378492), 'intercept': 0.07765771713463798, 'seasonal_period': [30, 24], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(4.232086521021892), np.float64(5.3146800532682805)]}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 6, 'anomaly_indices': array([181, 247, 293, 324, 381, 390], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
mean_shift,mean_shift,ood_background,ar,multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.54381417, -0.83940243])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [52, 30], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.035803083230868), np.float64(3.8947161616010986)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'middle', 'shift_indices': [np.int64(90), np.int64(312)], 'shift_magnitudes': [np.float64(4.611125024630528), np.float64(3.9481046454271547)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 4, 'ar_coefs': array([-0.09196374,  0.57774201, -0.36696996, -0.34489127])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(2.9424983622943284), 'cubic_sign': np.int64(-1)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [331], 'shift_magnitudes': [np.float64(7.190897892955205)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [329], 'shift_magnitudes': [1.6820594292437403], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,ar,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([0.17714461])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(0.02187924537849323), 'intercept': 0.36412006419365517, 'seasonal_period': [52, 24], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(1.2222297797445354), np.float64(1.1815105289826768)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [59], 'shift_magnitudes': [2.008544947182815], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(104), np.int64(312)], 'shift_types': ['direction_change', 'direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.02187924537849323), 'intercept': 0.36412006419365517}}]",shift_shift,ood_background,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",ood_background,white_noise,volatility_background,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'volatility_background', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['volatility_background'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(2.019180696981305), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.8596633920697114, 'omega': 0.26552163003856644}}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [62], 'shift_magnitudes': [np.float64(4.640801569451254)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([109]), 'location': 'beginning', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.07607905,  0.76894317])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(2.401289323222187), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'right', 'seasonal_amplitude': np.float64(4.450403987202408)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(72), np.int64(168)], 'shift_magnitudes': [2.6204119519735345, 1.6393214913951928], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'beginning', 'starts': array([85]), 'ends': array([112]), 'lengths': [27], 'magnitudes': [np.float64(3.866732919712303)], 'magnitude_strengths': [1.096416908028469], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
trend_shift+point_anomaly,"trend_shift,point_anomaly",ood_background,white_noise,volatility_background+linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'volatility_background+linear', 'slope': np.float64(0.024199198861837443), 'intercept': -0.2571476468770618, 'seasonal_period': None, 'components': ['volatility_background', 'linear'], 'volatility_kind': 'garch', 'volatility_strength': np.float64(1.804234288358276), 'volatility_info': {'type': 'volatility', 'subtype': 'GARCH', 'alpha': 0.40507136395485294, 'beta': 0.42505381786303287, 'omega': 0.5539050158413357}}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(133), np.int64(272)], 'shift_types': ['direction_change', 'direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.024199198861837443), 'intercept': -0.2571476468770618}}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 7, 'anomaly_indices': array([ 89, 171, 173, 210, 235, 268, 280], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,ma,multiple_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([0.47786155, 0.25200991, 0.65402452])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [7, 52], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(1.5396751509547653), np.float64(1.28025466920289)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [117], 'shift_magnitudes': [np.float64(3.299200705635982)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [73], 'shift_magnitudes': [1.86142061793966], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,ar,multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.58522815, -0.82975911])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [24, 52], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.1058297165285556), np.float64(3.464043999188199)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [231], 'shift_magnitudes': [np.float64(3.1292433763219174)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [186], 'shift_magnitudes': [1.5847584679420876], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",ood_background,ar,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.30907397])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.9794581956145914), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left', 'seasonal_amplitude': np.float64(3.5202043254877387)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [68], 'shift_magnitudes': [np.float64(2.3245677435220164)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([50]), 'location': 'beginning', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_background,arma,cubic_trend,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.25292421,  0.05842213,  0.11780642]), 'ma_order': 4, 'ma_coefs': array([-0.72727329,  0.11881462,  0.22970463, -0.56742476])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(2.445775884480714), 'cubic_sign': np.int64(1)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [283], 'shift_magnitudes': [np.float64(8.290101075834423)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [305], 'shift_magnitudes': [2.783745869368751], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_background,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_background,white_noise,multiple_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [5, 7], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(1.6505763984881732), np.float64(1.2408745794336082)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [303], 'shift_magnitudes': [2.135393960352494], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([350]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
point_anomaly,point_anomaly,ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 1, 'ma_coefs': array([0.26187739])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 52, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.585999088334782), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'center', 'seasonal_amplitude': np.float64(2.163330971645413)}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([  3,  14, 268, 340], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 3, 'ar_coefs': array([-0.17706447,  0.39826166,  0.76391368])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(0.028994957485072193), 'intercept': 0.0718063266997857, 'seasonal_period': [52, 12], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(6.107541614549808), np.float64(5.2217572663580585)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [116], 'shift_magnitudes': [np.float64(2.9662202778833855)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(192), np.int64(260)], 'shift_types': ['direction_change', 'direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.028994957485072193), 'intercept': 0.0718063266997857}}]",shift_shift,ood_background,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_background,white_noise,multiple_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [5, 30], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.1751014674008764), np.float64(1.762610593458429)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [200], 'shift_magnitudes': [1.9719508196809756], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([183]), 'location': 'middle', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
trend_shift,trend_shift,ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([0.00261538])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.028796159971525466), 'intercept': -0.48682225775100973, 'seasonal_period': [24, 30], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(6.331369591004683), np.float64(3.9069024738122535)]}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [231], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.028796159971525466), 'intercept': -0.48682225775100973}}]",single_event,ood_background,400
mean_shift,mean_shift,ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 5, 'ma_coefs': array([ 0.67642903,  0.39156381, -0.44055858, -0.70874888, -0.35984957])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(3.1056925739260812), 'quadratic_sign': np.int64(1), 'quadratic_location': 'right', 'seasonal_amplitude': np.float64(3.957689281281818)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [345], 'shift_magnitudes': [np.float64(4.014094883207967)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_background,ar,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.78451803])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(-0.012689285351277245), 'intercept': -0.026006548181313094, 'seasonal_period': [5, 30], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(1.7327286131880772), np.float64(3.094782933822249)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [286], 'shift_magnitudes': [np.float64(5.139162546720137)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [324], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.012689285351277245), 'intercept': -0.026006548181313094}}]",shift_shift,ood_background,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",ood_background,ar,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.77850343])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(0.029693076382160517), 'intercept': -0.22969388646682454, 'seasonal_period': [7, 12], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(2.496649578971743), np.float64(2.8593436238579297)]}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [309], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.029693076382160517), 'intercept': -0.22969388646682454}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'end', 'starts': array([293]), 'ends': array([334]), 'lengths': [41], 'magnitudes': [np.float64(-6.717937424350894)], 'magnitude_strengths': [2.30984120965581], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
no_event,none,ood_background,arma,multiple_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([ 0.49484241, -0.88511579]), 'ma_order': 1, 'ma_coefs': array([0.24038989])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [52, 24], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.8635686259222837), np.float64(2.9271006678111093)]}",[],no_event,ood_background,400
no_event,none,ood_background,ma,cubic_trend,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.17878725, -0.7025309 ])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(3.1610948322445207), 'cubic_sign': np.int64(1)}",[],no_event,ood_background,400
mean_shift+trend_shift,"mean_shift,trend_shift",ood_background,arma,multiple_seasonality+linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.14238167]), 'ma_order': 2, 'ma_coefs': array([-0.49080253, -0.28260684])}","{'background': 'multiple_seasonality+linear', 'slope': np.float64(0.020404326913939914), 'intercept': -0.05350352533013503, 'seasonal_period': [5, 24], 'components': ['multiple_seasonality', 'linear'], 'seasonal_amplitudes': [np.float64(1.6592740197173965), np.float64(1.917371535594547)]}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [281], 'shift_magnitudes': [np.float64(3.5167312605286005)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [281], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.020404326913939914), 'intercept': -0.05350352533013503}}]",shift_shift,ood_background,400
